,Title,Company Name,Location,Work Type,Description
305,自动驾驶系统工程师,"
                  Black Sesame Technologies Inc
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
306,数据科学家,"
                  Meritco Services
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
307,上位机工程师,"
                  江苏雷科防务科技股份有限公司
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
308,android工程师(UWJ1),"
                  PATEO博泰车联网
                ","
                Wuhan, Hubei, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
309,二次软件-FPGA开发工程师,"
                  Wyser
                ","
                Shanghai, Shanghai, China
              ",On-site, 岗位职责：    负责FPGA系统架构设计; 负责FPGA驱动、逻辑、算法设计， 负责整理底层驱动接口设计文档。    岗位要求：    熟悉Verilog硬件开发语言； 熟悉如Xilinx（ZYNQ/ZYNQ-MPSOC）、Altera、紫光及安路的开发平台和芯片特性； 熟悉常见的通信协议并有实际开发经历，如RS232、SPI、LOCALBUS、CAN、百兆网等，如有千兆网、万兆网、PCIE、DDR等高速通信接口开发经验更佳； 具备良好的代码设计风格，逻辑设计严谨； 具有系统级仿真的经验，熟悉SystemVerilog语言更佳； 具有时序分析及时序优化能力； 具有一般复杂度的算法开发经历； 具有丰富的板上调试和故障定位经验； 具有一定的脚本开发经验，如TCL或Python等； 对代码的模块化、通用性、易用性及可测试性设计有所考虑。    3、工作经验    从事FPGA开发工作5年及以上； 具有2年以上的ZYNQ或ZYNQ-MPSOC的开发经验； 有电力行业厂家工作经验者优先； 有大型项目开发经验者优先。    4、语言:熟练阅读英文技术资料、具有基本听说能力 
310,感知融合算法工程师(W0401),"
                  主线科技 TRUNK.TECH
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
311,感知融合算法工程师,"
                  国创中心
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
312,web前端开发工程师,"
                  兴业数字金融服务(上海)股份有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
313,Android应用工程师,"
                  深圳市杰科数码有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
314,图像算法工程师（BL）,"
                  上海保隆汽车科技股份有限公司
                ","
                Wuhan, Hubei, China
              ",On-site, 工作职责: 1) 负责基于嵌入式系统的智能驾驶算法和软件功能设计、应用开发、维护等； 2) 根据智能驾驶系统应用需求，设计相关AI处理算法和后处理算法，完成应用算法的代码编写调试和性能优化与迭代、性能稳定性、功耗等； 3) 与硬件，底层驱动和测试团队配合，实现应用算法的嵌入式集成、移植与测试优化； 4) 撰写相关应用处理算法开发文档、论文、专利等。 任职条件: 1) 硕士及以上学历，有嵌入式算法开发经验的优秀本科生条件可适当放宽； 2) 计算机、模式识别、机器视觉或电子信息相关专业，熟悉图像处理、模式识别、计算机视觉等相关算法。熟练掌握图像处理算法，有特征识别，HOG，SVM等设计经验为佳 3）熟悉Caffe，TensorFlow等工具，熟悉深度学习架构，有深度学习相关设计和训练经验为佳； 4) 熟悉嵌入式软件开发，有丰富的Linux或其它嵌入式环境下的软件开发经验，有良好的编码风格和习惯，精通C/C++，Python，有OpenCV，Matlab等图像或信号处理相关经验为佳； 4) 有良好的沟通和学习能力，有英文读写能力，对新技术充满热情； 5) 有汽车行业相关工作经验或背景者优先。 公司简介： 上海保隆汽车科技股份有限公司成立于1997年，2017年在上交所A股上市（股票代码：603197.SH），总部位于上海市松江区。保隆科技面向全球化经营，全球员工4500人，年营收超过33亿，立足智能化和轻量化战略方向，是汽车零部件多个细分领域龙头和全国汽车零部件百强企业。 保隆科技秉持“掌握领先技术、提升汽车部件”的企业使命，保隆员工践行“负责、上进、分享”的果园文化。欢迎有爱、有热情、有担当的您加入，共创“让更多人受益于汽车科技的发展”企业愿景。 福利待遇： 1、薪资待遇：上12个月的班，发13个月的薪资，再加上年终奖，综合14-16薪(#^.^#)。 2、试用期：试用期3个月，薪资全额，不打折。 3、五险一金：入职即缴纳（15日前），全额缴。 4、节日福利：我们比较直接，发购物卡，想买啥自己买O(∩_∩)O。 5、各类补贴：交通补贴、工龄补贴、卫生补贴，独立在工资之外的哦。 6、年度调薪：年度两次调薪机会！（年末大范围普调、年中业绩优秀者调整） 7、股票期权：如果你愿意越来越优秀，公司愿意为你的优秀买单！ 8、休息休假：双休、国家法定假、带薪年假、奖励性带薪年假、弹性工作制，工作生活平衡不是梦。 9、其他假期：如果你是女生，女神节，休！如果你是学龄儿童（3-12岁）的父母，六一儿童节，休！ 10、工作午餐：公司免费提供工作午餐，合理膳食，营养均衡。 11、免费停车：你停车，我缴费。公司为开车上班的同事提供免费停车福利。 12、健康体检：公司每年组织健康体检一次，虽然年轻，咱也得关注健康。 13、文化活动：各类文体协会，用兴趣滋养自己，让我们的生活更多彩！ 14、学习成长：专业学习培训肯定少不了，如果想读书，去考研究生，符合标准，学费公司按比例报销！ 15、定期团建：多姿多彩，形式丰富的团建活动，500元/人/年。 16、年度旅游：这里有你要的诗和远方，经费公司提供，1000元/人/年。 17、关于沟通：了解信息、融入、遇到问题、有啥想法，找HR，我们是娘家人。从日常，到试用期面谈，再到组织交流会，提供给你畅通无阻的沟通渠道！ 
